Tip,Paylaşım
Negatif,doğa ağzımıza sıçsa hakkı var 
Pozitif,anne bir sanatçıdır güzel eseri yavrusudur 
Negatif,ibrahimin oğlunu koruyan tanrı ben sokayım 
Negatif,köpeğim suratına sıçsın senin namussuz karı 
Negatif,ben söğüşledim birazda sen söğüşle 
Negatif,şerefsizlik sözde sanatçıların vazgeçemediği bir değerdir 
Negatif,kendisi bilmiyordur beyinsiz 
Negatif,aşırı bıyıklı geleneksel keko adam bi ayrılıp bi barışan boş bakışlı salak çift direnaj ertuğrul sezon dışında bi izlemek isteyenler bi çözüm düşündünüz peki 
Pozitif,uzun yolculuklar bile tek bir adımla başlar geleceğin mimarları gençlerimiz atılan ilk adımları var gücümüzle desteklemeye devam ediyoruz 
Pozitif,vallahi aralar istediğimiz tek huzur 
Pozitif,chp genel başkanı kemal kılıçdaroğlu nun eşi selvi kılıçdaroğlu hazine maliye bakanı berat albayrak ın eşi esra albayrak telefonla arayarak yeni doğan çocuğu ilgili sosyal medyadan yapılan hakaret içerikli paylaşımlar nedeniyle duyduğu üzüntüyü paylaştı 
Pozitif,beyin göçünü engellemeye çalıştığımız gençlere sosyal medyayı yasaklamak gerçekten dahiyane bir fikir 
Pozitif,doğa ana kullanılmayan depoyu devralıyor 
Pozitif,tarlasını çekerken beni çekmedin söylenenen dayının kendinin çekildiğinden habersiz oluşu 
Negatif,babanesini seven yoktur heralde anneneler kadar minnoşsa baanneler kadar çekilmez oluyo inşlah babane olmam ilerde aq kimse sevmez beni 
Pozitif,merhaba konuyla ilgili yardımcı olmak isteriz rtibat numaranızı direkt mesaj olarak bize iletir misiniz 
Pozitif,nietzsche böyle buyurdu zerdüşt te önce sen kendini inşa etmelisin dimdik bir beden dimdik bir ruhla diyor ekliyor derisini değiştirmeyen yılan ölmeye mahkumdur durum fikirlerini değiştirmeyen zihinler geçerlidir sabit fikir büyük hapishanedir 
Pozitif,hiçbir harekete geçen cehalet kadar korkunç olamaz 
Pozitif,yine birileri değişimlerin tadını çıkarmakla meşgul 
