Tip,Paylaşım
Negatif,kudurun 
Pozitif,mantıklı konuşurum mantıklı hareket etmem 
Negatif,ulan güzel karın var aq gerzek herif 
Pozitif,hayatta kalabilmek para uğruna insanlar nerelerde canlarını hic sayarak çalışıyor lah yardımcıları olsun 
Negatif,mal zaman chp mi iktidarı amk 
Pozitif,dayı soyadına noldu ahshdjg süpersin 
Negatif,çapsız hüseyin soytarı sürüsü 
Negatif,yağlı kapısına sokayım onun ben 
Negatif,ulen dakika döndünüz eskiden katil dediğiniz şimdi kurtariciniz kadar dönek olmayın 
Pozitif,çocuklarınızı uzak tutun video web sayfasından telefon tabletlerine indirdikleri video oyunlar 
Negatif,bir önüne gelene oruspu çocuğu diyip duruyor andaval 
Negatif,tiktok beyinsizleri bi araya toplama sanatıdır 
Pozitif,bakmanızı öneririm the şarkısı anlam kusuyo 
Negatif,abim eskiden uzak yazamazsin falan diyodu aralar aysena gerçekten bise demiyorum ebeni tersten gormek istiyosan 
Negatif,sokmuşum be acıdan yerinde kıvranıyorsun ettiğin küfürler konuşacak beynin olmadığının bi ispatı hepsini sana iade ediyorum mal nisanda değer biçilmiş güncel değeri değil belhanda var işte orda kendi kendine laf sokmaya devam ediyorsun soytari gibisin 
Negatif,av cinayet midir değil midir görecelidir gerizekalının yaptığı cinayettir bi bok yapmış poz vermiş birde götveren 
Negatif,gizem hortlak mısın yerden çıkıyon mk 
Negatif,senin kalbin kötülük dolu allah gönlüne göre versin başın beladan kurtulmasın fesat yloz 
Negatif,beyin yokki onu yapsın pis cüce 
Negatif,ulan yavşak lavuk muhabir bozuntusu darbeyi yapanlar etö retö nün köpekleri yaptılarsen devletin mil 
Pozitif,hop arkadaşlar ben dün baya bir rahatsızlandım detaylarını verirsem yüzünüz ekşir öyle yayın açabilecek durumda vs değilim affınıza sığınarak bugun yayını fstream idare edip gece youtube atmaya çalışacağım fazla twitter durmayıp gidiyorum gömdüm 
Negatif,senin vereceğin bilginin içine çiçek ekeyim zalak herif 
Pozitif,benim gözlerimden bak dünyaya 
Negatif,atatürkü sevmiyorum 
Negatif,parcatuhaftik adalet anlayışına sokam 
Pozitif,dorik iyonik korint kadar yaşında çocuğa anlatsan ayırır bunları birbirinden üzerine tartışıyosunuz kadar 
Negatif,şirret bi kadın 
Pozitif,adam sevilmez 
Pozitif,styling 
Pozitif,twitlerimi ben yazıyorum sıkışıp kıvırmak zorunda kalırsam 
Pozitif,ay zaman böyle bi laf gelecek diyordum yine iq suz haber kanalından geldi adam akpli olsaydı evli adamı ayartmış derlerdi falan adam haklı olurdu türlü chpli haksız jksdhff 
Pozitif,çocuk olmak dışında hiçbir yapmadılar göz göre göre katledilmesine izin vermeyin 
Pozitif,varlığını biliyorsak bilimsel kanıta ihtiyaç var sorgulayabilen anlar 
Pozitif,ricardo quaresma sene devam etmek istiyorum bir kulüpte bırakmak isteyebilirsiniz onların projeler 
Pozitif,güzelsin mersin 
Pozitif,bilim özellikle biyoloji tıp zor bir süreçtir yaptığınız çalışmaların çoğu başarısız olabilir hta doğru bildiğinizin bir gün yanlış olduğunu anlayıp tam tersini ispatlamak zorunda kalabilirsiniz kadar öğrenip deneyim kazanırsak doğruya kadar yaklaşırız 
Negatif,domal kızım gizli çekim 
Pozitif,evleniyorsun balayına gitmişsin kahvaltıda eşin üniversite hocaları yazın üç ay tatil yapıyorsunuz güzel diyor 
Negatif,senin çeviriye sokayım amk 
Negatif,sıcak pezevenk dönüşte burda olma 
Pozitif,keşke benimde köyüm olsaydı kuzular çimenler 
Negatif,parası bitti galiba bizi icraya verecek dürzü 
Negatif,yapacaksan bir yap yoksa sus amk elimiz mal dolu kağıtlara ceza gelecek senin yüzünden ayrıca aklın yokmu senin rurbesiz er zarar ettin galiba kazansan adamlardan iyi adam yok derdin yağdanlık yapma yapacaksan yap yoksa sus 
Pozitif,çeşit kürt vardır kahraman olanlar okur büyür kendine birikim katar devlete bir katkıda bulunur asker olur vatanını milletini savunur aynı dünya savaşında olduğu olanlar ypg ye katılır türk askerine ateş açar huzurumuzu bozar 
Negatif,noluyor aq 
Pozitif,mutlu size 
Pozitif,senin ondan vücudun ful kas 
Pozitif,yanlış bir söylemedin doğruydu yazdığın ilk sinyaller önemli alesef çoğu kadın işaretleri görmek istemiyor gözleri kör oluyor erkek karşısında ben tvitinde herhangi bir hata görmedim 
Negatif,demekki kafir müslüman aldatmak dersine iyi çalışmış 
Pozitif,benim gundemimde yohğ 
Pozitif,yıllık çanak parçası bulunsa müzeye koyup sergiliyorlar tarihi eser 
Pozitif,artık siyasetenizden vazgeçin chp seçmeni isyan ediyor onlar adına üzülüyorum 
Pozitif,sigarayi birakmak icin nikotin sakızı aldım an sakızla birlikte sigaramı tüttürüyorum buda benim serseri serbest stilim 
Negatif,napıyonuz lan götveren köpekler footfetish socksfetish psing master slave 
Negatif,suriyelilerin hepsinin kafasına sıkacaksın 
Negatif,herkes ece erken laf söylüyor ahlak bekçiliği yapan ahlaksız sizin yaptığınız an siktir etsenize böyle insanları 
Negatif,seviyesizliğin alemi yok görüntü yayınlamanın bin türlü tekniği var bilmediğiniz konuda mal mal konuşmayın 
Pozitif,zaman değişir duruş asla cerrahpaşaduruşu 
Negatif,doğduğunda kulağına kahpe mi fısıldadılar 
Pozitif,epi bütüyle kayan hayatlar adlı çalışma 
Pozitif,sadece küfür eden birini ahlaksız bir şekilde konuşan birini ün sahibi yapanlar takip edenler utansın 
Pozitif,dün bölümü tekrar izledim yer kafama takıldı düşünüyorsunuz bilmiyorum benim düşüncem yönde 
Negatif,akla baska birsey gelmiyor embesil icin 
Negatif,ilk önce yazılacağını öğren sonra çağır fenerli değilmi keko 
Pozitif,sansürü eleştirmek bir şeyler diyesim var kadına şiddeti meşrulaştıran dizilere bir adada bir grup denyo formatlarına girmesi netflix pahalı kanal oldu benim bırakınız yansın gerçekten böyle içeriklere imza atan bir yeri savunacak değilim 
Pozitif,küçükken bir film izlemiştim orada esmer bir kadın vardı ben ona çikolata kadın derdim eısjejsksjdskxjsk 
Pozitif,eski sevgiliden adi anilmamasi gereken kisi bahsetmek 
Negatif,leri seviyorsaniz alin evinize besleyin neymis dövülerek öldürülmüş satirla kafa kesecem diyen orospu cocugu suriyeli ye sahip cikaydiniz gece yarisi turk kizina tecavüz eden suriyeli pezevenk sahip cikin zaman 
Pozitif,inan ençok mutlu etti bizi günaydin bariş 
Pozitif,otobüsteyim önümde sevmek aşırı can attığım dünyalar tatlısı bir kız çocuğu var gelin görün sevebiliyor muyum hayır dünya üzerindeki sapık şerefsizler yüzünden ben utanıp çekiniyorum 
Negatif,alçak köpek sen sırıtıp tv çay içerek darbeyi seyredin degilmisin 
Negatif,rabb im söylediklerini sana yaşatmadan canını vereme inşlah 
Pozitif,pınar gültekin isimli gencecik masum bir kız barışmak istemedi vahşice katlediliyor naaşı varle taşınıyor ilesi 
Negatif,bizler biriz yunan tohumları kudursun 
