sentiment,tweets
-1,eşim tsk deniz kuvvetleri personeliyaklaşık 1 buçuk yıldır evde sebebi covid-19herkesi zorla aşıladılar gemiden çıkmanızin tek şartı aşı dendi eşimde aşıyı güvenli bulmadığı icin istemedişimdi ceza 1 yil dışarı çıkamayacak salgınsahteyasaklarkalksın
-1,pandemi+ramazan denk gelince keyfim kaçık olduğundan kilo vermiştim ders falan istemesek oturunca yağlanıyoruz
-1,kimsenin sorgulama endişesi gününü kurtardığını nimet bilip yaşıyor insanlarmutasyona uğrayan virüsün faz 3 aşamasi tamamlanmamış aşısına koşarlar tek bildikleri aşı yaptırın dediler yaptırıyoz
-1,bağışıklık güçlendirmek mesala stokin fırtınası vitaminimi bol oksijen düzenli spor sağlıklı beslenme hacamat bitki çaylarımı sürü yöntem bağışıklık hüçlendiren baştada iyi moral corona oldum ölcem paranoyası
-1,zaman vietnam kore dünya ülkelerinin ülke ehliyetini iptal etsin kardeşim demek tırtlık
-1,yeni takibe aldım paylaşım yaptığınız baktım sürekli aşı karşıtlarına yorum yazıyorsunuz takip edim yazıktır takipçi istiyordur dedim kendime salgınsahteyasaklarkalksın
-1,hafta sınavlarımız başlıyobol özgüvensizlik dolu hafta olucak sınavlarım umrumda yapamayacağımı biliyorum tek isteğim kimseye korona bulaştırmamak korona olmamak korkuyorum vakalar aldı başını gidiyo öğrencilerölmekistemiyor
-1,çocuklarınızı alıp avm geziyorsunuz gençler cafeler sokaklar sabahtan akşama geziyor okul sınavına gelince tepki gösteriyorsunuz corona okulda
0,örnek verdiğiniz şehirlerde covid'i kafasında bitirmiş hastalığı ciddiye alıp hastaneye gitmiyor bence test yapmayı vaka saymayı bırakırsanız vaka sayısını 1 haftada 0'larsınız
-1,işten çıkarma yasağı kısa çalışma ödeneği süresi uzatıldı pandemi başladığında işsizlik maaşı alıyordum sürem doldu uzatılmadı dönem bulmak zor işsizlik maaşı süresi uzatılmalı gssborcusi̇li̇nsi̇n
-1,türkiye’de son 24 saatte 11 187 kişinin kovid-19 testi pozitif çıktı 65 kişi hayatını kaybetti haberler aracılığıyla türkiye sondurum covid19 korona sağlık pandemi haber sondakika deşifrehaber deşifrehaberler
-1,covid- 19 önce milli eğitim bakının adını bilmeyen çıkarcı öğrenciler şimdi ziya selçu eleştiriyorsunuz biriniz ünlüler açılsın diyorsunuz diğeriniz sınav istemiyoruz diyorsunuz hanginizle basetsin devlet öğrencilerölmekistemiyor
-1,pandemi döneminde sorunla karşılaşan öğrenciler bazıları hâlâ sorunlarla boğuşuyor görmezden gelerek sınavlara girsinler demek bencilliktir
